# V[V] J[A/m2] J_anode[A/m2] J_cathode[A/m2]
0.000000 -1.627922e-09 -2.274310e-13 -3.255616e-09
0.100000 -2.397598e-09 -3.095052e-13 -4.794886e-09
0.200000 -2.023365e-09 -2.773768e-13 -4.046453e-09
0.300000 -2.221887e-09 -3.062833e-13 -4.443468e-09
0.400000 5.347165e-09 5.084159e-13 1.069382e-08
0.500000 -2.195030e-09 -2.994380e-13 -4.389761e-09
0.600000 5.678158e-09 5.168228e-13 1.135580e-08
0.700000 -1.964072e-09 1.100057e-13 -3.928254e-09
0.800000 -1.922566e-09 -2.543431e-13 -3.844877e-09
0.900000 -1.780803e-09 1.030019e-13 -3.561709e-09
1.000000 -1.771527e-09 -2.766770e-13 -3.542778e-09
1.100000 5.351959e-09 7.991262e-13 1.070312e-08
1.200000 -1.826198e-09 2.032235e-11 -3.672718e-09
1.300000 -1.578812e-09 9.463090e-10 -4.103933e-09
1.400000 4.852446e-08 4.217688e-08 5.487204e-08
1.500000 1.346965e-06 1.352087e-06 1.341843e-06
1.600000 1.784723e-05 1.784521e-05 1.784925e-05
1.700000 1.252059e-04 1.252088e-04 1.252030e-04
1.800000 7.148598e-04 7.148541e-04 7.148655e-04
1.900000 3.493243e-03 3.493239e-03 3.493247e-03
2.000000 1.299472e-02 1.299472e-02 1.299472e-02
2.100000 4.051598e-02 4.051597e-02 4.051598e-02
2.200000 1.062087e-01 1.062087e-01 1.062087e-01
2.300000 2.265150e-01 2.265150e-01 2.265150e-01
2.400000 5.444522e-01 5.444522e-01 5.444522e-01
2.500000 1.115043e+00 1.115043e+00 1.115043e+00
2.600000 2.014261e+00 2.014261e+00 2.014261e+00
2.700000 3.336981e+00 3.336981e+00 3.336981e+00
2.800000 5.197217e+00 5.197217e+00 5.197217e+00
2.900000 7.734993e+00 7.734993e+00 7.734993e+00
3.000000 1.110517e+01 1.110517e+01 1.110517e+01
3.100000 1.548506e+01 1.548506e+01 1.548506e+01
3.200000 2.104452e+01 2.104452e+01 2.104452e+01
3.300000 2.797859e+01 2.797859e+01 2.797859e+01
3.400000 3.645532e+01 3.645532e+01 3.645532e+01
3.500000 4.658294e+01 4.658294e+01 4.658294e+01
3.600000 5.806614e+01 5.806614e+01 5.806614e+01
3.700000 7.322346e+01 7.322346e+01 7.322346e+01
3.800000 9.130415e+01 9.130415e+01 9.130415e+01
3.900000 1.125689e+02 1.125689e+02 1.125689e+02
4.000000 1.373810e+02 1.373810e+02 1.373810e+02
