# device profiles: one block per voltage, blank-line separated
# block header lines start with '# V ='
# x[m] n[m-3] p[m-3] phi[V] E[V/m] R[m-3s-1] mun[m2/Vs] mup[m2/Vs] nt[m-3] pt[m-3] Jn[A/m2] Jp[A/m2]
# V = 0.000000
3.333333e-10 5.492863e-19 7.284830e+19 -4.634652e+00 -2.302213e+07 0.000000e+00 2.943447e-09 2.943447e-08 0.000000e+00 0.000000e+00 -3.647086e-53 -1.132593e-13
1.000000e-09 9.945699e-19 4.023304e+19 -4.619304e+00 -2.302207e+07 0.000000e+00 2.943442e-09 2.943442e-08 0.000000e+00 0.000000e+00 3.189187e-52 9.764496e-14
1.666667e-09 1.800820e-18 2.222019e+19 -4.603956e+00 -2.302196e+07 0.000000e+00 2.943434e-09 2.943434e-08 0.000000e+00 0.000000e+00 -4.177808e-52 4.501325e-14
2.333333e-09 3.260652e-18 1.227195e+19 -4.588608e+00 -2.302190e+07 0.000000e+00 2.943430e-09 2.943430e-08 0.000000e+00 0.000000e+00 -3.826088e-52 -5.083704e-14
3.000000e-09 5.903888e-18 6.777664e+18 -4.573260e+00 -2.302187e+07 0.000000e+00 2.943428e-09 2.943428e-08 0.000000e+00 0.000000e+00 6.352925e-52 5.612367e-17
3.666667e-09 1.068985e-17 3.743231e+18 -4.557912e+00 -2.302185e+07 0.000000e+00 2.943427e-09 2.943427e-08 0.000000e+00 0.000000e+00 -3.437183e-52 -7.748776e-16
4.333333e-09 1.935552e-17 2.067347e+18 -4.542564e+00 -2.302184e+07 0.000000e+00 2.943426e-09 2.943426e-08 0.000000e+00 0.000000e+00 -4.250401e-52 6.610985e-16
5.000000e-09 3.504596e-17 1.141774e+18 -4.527216e+00 -2.302183e+07 0.000000e+00 2.943426e-09 2.943426e-08 0.000000e+00 0.000000e+00 -3.511105e-51 2.713753e-17
5.666667e-09 6.345577e-17 6.305899e+17 -4.511868e+00 -2.302183e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -1.163632e-51 -1.417121e-16
6.333333e-09 1.148958e-16 3.482683e+17 -4.496520e+00 -2.302183e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 2.297292e-51 8.096995e-16
7.000000e-09 2.080355e-16 1.923449e+17 -4.481172e+00 -2.302183e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -1.108077e-50 3.574313e-16
7.666667e-09 3.766782e-16 1.062301e+17 -4.465825e+00 -2.302183e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 1.880600e-49 -2.082944e-16
8.333333e-09 6.820301e-16 5.866980e+16 -4.450477e+00 -2.302183e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -1.047563e-49 1.151906e-16
9.000000e-09 1.234914e-15 3.240272e+16 -4.435129e+00 -2.302183e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -1.918747e-49 -1.433280e-16
9.666667e-09 2.235989e-15 1.789569e+16 -4.419781e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -8.888685e-50 6.185806e-19
1.033333e-08 4.048581e-15 9.883603e+15 -4.404433e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -3.749740e-49 2.186387e-18
1.100000e-08 7.330539e-15 5.458612e+15 -4.389085e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 9.721352e-50 2.132903e-18
1.166667e-08 1.327300e-14 3.014735e+15 -4.373737e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 5.523595e-49 -5.356804e-19
1.233333e-08 2.403267e-14 1.665007e+15 -4.358389e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 9.017979e-49 -1.405164e-19
1.300000e-08 4.351462e-14 9.195661e+14 -4.343042e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -2.211313e-48 2.316625e-18
1.366667e-08 7.878949e-14 5.078668e+14 -4.327694e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -3.290016e-48 8.616186e-19
1.433333e-08 1.426597e-13 2.804896e+14 -4.312346e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 1.425469e-47 -5.988004e-19
1.500000e-08 2.583060e-13 1.549115e+14 -4.296998e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 8.712328e-47 6.442754e-19
1.566667e-08 4.677002e-13 8.555602e+13 -4.281650e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -9.720047e-47 -1.728410e-19
1.633333e-08 8.468386e-13 4.725171e+13 -4.266302e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 1.612864e-46 -8.819494e-20
1.700000e-08 1.533323e-12 2.609663e+13 -4.250954e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -1.261657e-46 4.626068e-20
1.766667e-08 2.776303e-12 1.441290e+13 -4.235606e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -6.055866e-46 -5.641952e-20
1.833333e-08 5.026896e-12 7.960094e+12 -4.220258e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -5.937939e-46 -9.555132e-22
