# transfer-matrix outcoupling (normal incidence)
# emission profile: Rfree(x) of layer 'emissive' at V=4
# lambda_m eta_outcoupled eta_bottom_lost eta_absorbed
4.500000e-07 0.900707 0.000000 0.099293
4.600000e-07 0.899312 0.000000 0.100688
4.700000e-07 0.897777 0.000000 0.102223
4.800000e-07 0.896427 0.000000 0.103573
4.900000e-07 0.895449 0.000000 0.104551
5.000000e-07 0.894929 0.000000 0.105071
5.100000e-07 0.894898 0.000000 0.105102
5.200000e-07 0.895353 0.000000 0.104647
5.300000e-07 0.896266 0.000000 0.103734
5.400000e-07 0.897592 0.000000 0.102408
5.500000e-07 0.899259 0.000000 0.100741
5.600000e-07 0.901178 0.000000 0.098822
5.700000e-07 0.903243 0.000000 0.096757
5.800000e-07 0.905336 0.000000 0.094664
5.900000e-07 0.907339 0.000000 0.092661
6.000000e-07 0.909139 0.000000 0.090861
6.100000e-07 0.910645 0.000000 0.089355
6.200000e-07 0.911783 0.000000 0.088217
6.300000e-07 0.912512 0.000000 0.087488
6.400000e-07 0.912815 0.000000 0.087185
6.500000e-07 0.912705 0.000000 0.087295
6.600000e-07 0.912217 0.000000 0.087783
6.700000e-07 0.911405 0.000000 0.088595
6.800000e-07 0.910335 0.000000 0.089665
6.900000e-07 0.909082 0.000000 0.090917
7.000000e-07 0.907722 0.000000 0.092278
# spectrum-averaged: eta_out=0.904055 eta_bottom=0.000000 eta_abs=0.095945
